id,city_name,latitude,longitude,country_code
582,Meridianville,34.861779,-86.578879,USA
583,Mexia,31.506944,-87.388333,USA
584,Midland City,31.36716,-85.513033,USA
585,Midway,32.09552,-85.531523,USA
586,Millbrook,32.499485,-86.364125,USA
587,Millerville,33.158959,-85.969001,USA
588,Millport,33.54013,-88.200003,USA
589,Millry,31.626871,-88.355872,USA
590,Minter,32.095387,-86.92497,USA
591,Mobile,30.6959,-88.0434,USA
592,Monroeville,31.51533,-87.340993,USA
593,Montevallo,33.124765,-86.862228,USA
594,Montgomery,32.3743,-86.3118,USA
595,Montrose,30.565556,-87.901667,USA
596,Moody,33.584132,-86.51557,USA
597,Mooresville,34.628333,-86.880278,USA
598,Morris,33.739172,-86.772551,USA
599,Morvin,31.967305,-87.972897,USA
600,Moulton,34.505836,-87.222385,USA
601,Moundville,32.978853,-87.615134,USA
602,Mount Hope,34.462969,-87.451453,USA
603,Mount Meigs,32.3625,-86.101944,USA
604,Mount Olive,33.67678,-86.87171,USA
605,Mount Vernon,31.097375,-88.035044,USA
606,Mulga,33.540696,-87.043998,USA
607,Munford,33.540987,-85.936322,USA
608,Muscadine,33.752913,-85.378907,USA
609,Muscle Shoals,34.756136,-87.630443,USA
610,Myrtlewood,32.250278,-87.949722,USA
611,Nanafalia,32.112778,-87.988056,USA
612,Natural Bridge,34.093333,-87.601944,USA
613,Nauvoo,33.929859,-87.432449,USA
614,Needham,32.012165,-88.345798,USA
615,New Brockton,31.36898,-85.940386,USA
616,New Castle,33.648889,-86.768611,USA
617,New Hope,34.549445,-86.3961,USA
618,New Market,34.899991,-86.448742,USA
619,Newbern,32.551465,-87.561472,USA
620,Newton,31.331064,-85.599229,USA
621,Newville,31.440295,-85.328741,USA
622,Normal,34.788889,-86.571944,USA
623,Northport,33.2605,-87.5872,USA
624,Notasulga,32.543727,-85.68707,USA
625,Oak Hill,31.925,-87.0825,USA
626,Oakman,33.700174,-87.368574,USA
627,Odenville,33.675611,-86.408952,USA
628,Ohatchee,33.778779,-86.025357,USA
629,Oneonta,33.925858,-86.474118,USA
630,Opelika,32.627771,-85.358629,USA
631,Opp,31.279861,-86.257105,USA
632,Orange Beach,30.290596,-87.555888,USA
633,Orrville,32.294859,-87.221368,USA
634,Owens Cross Roads,34.612859,-86.466577,USA
635,Oxford,33.596829,-85.83347,USA
636,Ozark,31.439069,-85.643629,USA
637,Paint Rock,34.667122,-86.332562,USA
638,Palmerdale,33.738611,-86.646111,USA
